OBJECTID,Countyname,ST_Name,ST_Abbr,ST_ID,FIPS,FatalityRa,Confirmedb,DeathsbyPo,PCTPOVALL_,Unemployme,Med_HH_Inc,State_Fata,DateChecke,EM_type,EM_date,EM_notes,url,Thumbnail,Confirmed,Deaths,Age_85,Age_80_84,Age_75_79,Age_70_74,Age_65_69,Beds_Licen,Beds_Staff,Beds_ICU,Ventilator,POP_ESTIMA,POVALL_201,Unemployed,Median_Hou,Recovered,Active,State_Conf,State_Deat,State_Reco,State_Test,AgedPop,NewCases,NewDeaths,TotalPop,NonHispWhP,BlackPop,AmIndop,AsianPop,PacIslPop,OtherPop,TwoMorPop,HispPop,Wh_Alone,Bk_Alone,AI_Alone,As_Alone,NH_Alone,SO_Alone,Two_More,Not_Hisp,Age_Less15,Age_15_24,Age_25_34,Age_Over75,Agetotal,NonHisp,Age_35_64,Age_65_74,Day_1,Day_2,Day_3,Day_4,Day_5,Day_6,Day_7,Day_8,Day_9,Day_10,Day_11,Day_12,Day_13,Day_14,Shape__Area,Shape__Length
1,Autauga,Alabama,AL,01,01001,2.0979020979021,1285.95,26.9779320515818,13.8,3.6,118.9591,2.0235844810514,07/14/2020 01:13:06,Govt Ordered Community Quarantine,4/3/2020 10:40:51 PM,AL Governor issued a Shelter In Place order.,https://bao.arcgis.com/covid-19/jhu/county/01001.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,715,15,815,1026,1498,2440,2271,85,55,6,2,55601,7587,942,59338,0,0,55545,1124,0,519604,8050,17,0,55200,41412,10475,159,568,5,41,1012,1528,42437,10565,159,568,32,409,1030,55200,10842,7192,7064,3339,55200,53672,22052,4711,17,22,14,9,10,7,26,3,24,23,7,8,15,9,2209382006.48438,246839.865478895
2,Baldwin,Alabama,AL,01,01003,0.820283370618941,615.08,5.04536239462073,9.8,3.6,115.4508,2.0235844810514,07/14/2020 01:13:06,Govt Ordered Community Quarantine,4/3/2020 10:41:19 PM,AL Governor issued a Shelter In Place order.,https://bao.arcgis.com/covid-19/jhu/county/01003.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,1341,11,3949,4792,7373,11410,13141,386,362,51,8,218022,21069,3393,57588,0,0,55545,1124,0,519604,40665,64,0,208107,172768,19529,1398,1668,9,410,2972,9353,179526,19764,1522,1680,9,2034,3572,208107,37621,23497,23326,16114,208107,198754,82998,24551,64,70,37,56,75,59,86,30,18,18,93,49,23,37,5770469339.71875,728445.072447544
3,Barbour,Alabama,AL,01,01005,0.497512437810945,1615.69,8.03826212772799,30.9,5.2,68.928,2.0235844810514,07/14/2020 01:13:06,Govt Ordered Community Quarantine,4/3/2020 10:43:21 PM,AL Governor issued a Shelter In Place order.,https://bao.arcgis.com/covid-19/jhu/county/01005.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,402,2,422,551,841,1305,1515,74,30,5,2,24881,6788,433,34382,0,0,55545,1124,0,519604,4634,3,0,25782,11898,12199,63,85,1,86,344,1106,12216,12266,72,96,1,778,353,25782,4517,3092,3675,1814,25782,24676,9864,2820,3,5,17,10,5,5,4,4,2,2,12,10,1,3,3258643456.94141,307285.154510411
4,Bibb,Alabama,AL,01,01007,0.440528634361234,1013.39,4.46428571428571,21.8,4,92.3478,2.0235844810514,07/14/2020 01:13:06,Govt Ordered Community Quarantine,4/3/2020 10:40:51 PM,AL Governor issued a Shelter In Place order.,https://bao.arcgis.com/covid-19/jhu/county/01007.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,227,1,427,488,624,842,1280,35,25,4,1,22400,4400,344,46064,0,0,55545,1124,0,519604,3661,3,0,22527,16801,4974,8,37,0,0,160,547,17268,5018,8,37,0,9,187,22527,3742,3005,3075,1539,22527,21980,9044,2122,3,3,6,7,10,2,2,4,3,1,10,5,4,5,2310715490.67188,227886.963840211
5,Blount,Alabama,AL,01,01009,0.302114803625378,572.27,1.72890733056708,13.2,3.5,101.0645,2.0235844810514,07/14/2020 01:13:06,Govt Ordered Community Quarantine,4/3/2020 10:40:51 PM,AL Governor issued a Shelter In Place order.,https://bao.arcgis.com/covid-19/jhu/county/01009.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,331,1,866,1459,1776,2802,3330,25,25,6,2,57840,7527,878,50412,0,0,55545,1124,0,519604,10233,11,0,57645,50232,820,124,198,18,174,818,5261,55054,862,141,198,18,437,935,57645,11112,6906,6786,4101,57645,52384,22608,6132,11,24,15,8,15,7,8,8,5,4,8,4,10,8,2456058260.14844,286306.840720805
6,Bullock,Alabama,AL,01,01011,2.64550264550265,3728.55,98.6387847701716,42.5,4.7,58.6736,2.0235844810514,07/14/2020 01:13:06,Govt Ordered Community Quarantine,4/3/2020 10:42:44 PM,AL Governor issued a Shelter In Place order.,https://bao.arcgis.com/covid-19/jhu/county/01011.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,378,10,175,182,248,436,575,61,30,5,1,10138,3610,224,29267,0,0,55545,1124,0,519604,1616,0,0,10352,2228,7893,122,56,0,2,0,51,2276,7893,122,56,0,5,0,10352,1770,1478,1120,605,10352,10301,4368,1011,0,1,1,6,1,1,-1,0,1,1,3,2,2,0,2261613871.75781,244911.307754774
7,Butler,Alabama,AL,01,01013,4.42748091603053,3328.25,147.357723577236,24.5,4.8,74.9083,2.0235844810514,07/14/2020 01:13:06,Govt Ordered Community Quarantine,4/3/2020 10:40:51 PM,AL Governor issued a Shelter In Place order.,https://bao.arcgis.com/covid-19/jhu/county/01013.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,655,29,557,415,753,994,1087,72,44,7,2,19680,4731,427,37365,0,0,55545,1124,0,519604,3806,3,0,20025,10384,9027,2,231,0,0,314,67,10414,9055,2,231,0,0,323,20025,3772,2365,2424,1725,20025,19958,7658,2081,3,1,6,2,6,5,-2,1,9,1,16,3,0,2,2795264346.48828,218921.07804926
8,Calhoun,Alabama,AL,01,01015,0.902527075812274,484.79,4.37533361918846,19.5,4.7,91.0166,2.0235844810514,07/14/2020 01:13:06,Govt Ordered Community Quarantine,4/3/2020 10:40:51 PM,AL Governor issued a Shelter In Place order.,https://bao.arcgis.com/covid-19/jhu/county/01015.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,554,5,2050,2323,3524,4822,6667,486,435,30,15,114277,21719,2139,45400,0,0,55545,1124,0,519604,19386,39,0,115098,83423,23618,227,1065,9,38,2515,4203,85558,23676,353,1065,9,1701,2736,115098,20564,15399,15017,7897,115098,110895,44732,11489,39,25,34,20,33,16,11,22,22,10,42,10,2,7,2300057289.77734,263083.707732383
9,Chambers,Alabama,AL,01,01017,4.37956204379562,2037.78,89.2458723784025,18.7,3.9,80.0245,2.0235844810514,07/14/2020 01:13:06,Govt Ordered Community Quarantine,4/3/2020 10:42:44 PM,AL Governor issued a Shelter In Place order.,https://bao.arcgis.com/covid-19/jhu/county/01017.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,685,30,702,747,1185,1686,2089,115,84,15,0,33615,6181,597,39917,0,0,55545,1124,0,519604,6409,8,0,33826,18872,13319,97,405,0,18,347,768,19483,13319,97,405,0,175,347,33826,5777,4485,3691,2634,33826,33058,13464,3775,8,3,10,7,10,4,1,13,5,12,12,19,5,5,2222371199.77734,207869.416000121
10,Cherokee,Alabama,AL,01,01019,5.34351145038168,503.23,26.8899815611555,16.3,3.6,84.465,2.0235844810514,07/14/2020 01:13:06,Govt Ordered Community Quarantine,4/3/2020 10:40:51 PM,AL Governor issued a Shelter In Place order.,https://bao.arcgis.com/covid-19/jhu/county/01019.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,131,7,479,528,1188,1492,1934,60,45,8,1,26032,4180,415,42132,0,0,55545,1124,0,519604,5621,7,0,25853,23730,1267,236,42,0,0,180,398,23997,1267,236,55,0,90,208,25853,4194,2986,2529,2195,25853,25455,10523,3426,7,1,8,3,1,8,1,5,12,0,6,5,3,1,2275916097.33594,235526.627577957
